GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021100113,479,202391,Jeremy Lin,1610612752,New York Knicks,4,2,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,1,1,1,20120107,DET,NYK
Shot Chart Detail,0021100177,544,202391,Jeremy Lin,1610612752,New York Knicks,4,1,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,1,1,1,20120114,OKC,NYK
Shot Chart Detail,0021100252,471,202391,Jeremy Lin,1610612752,New York Knicks,4,4,22,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,108,129,1,1,20120124,CHA,NYK
Shot Chart Detail,0021100252,504,202391,Jeremy Lin,1610612752,New York Knicks,4,2,8,Made Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,69,45,1,1,20120124,CHA,NYK
Shot Chart Detail,0021100287,340,202391,Jeremy Lin,1610612752,New York Knicks,3,0,9,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-35,75,1,1,20120128,HOU,NYK
Shot Chart Detail,0021100287,358,202391,Jeremy Lin,1610612752,New York Knicks,4,10,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,182,63,1,1,20120128,HOU,NYK
Shot Chart Detail,0021100287,445,202391,Jeremy Lin,1610612752,New York Knicks,4,2,51,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-60,74,1,1,20120128,HOU,NYK
Shot Chart Detail,0021100311,455,202391,Jeremy Lin,1610612752,New York Knicks,4,4,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,12,1,1,20120131,NYK,DET
Shot Chart Detail,0021100345,145,202391,Jeremy Lin,1610612752,New York Knicks,2,11,31,Made Shot,Driving Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,23,1,1,20120204,NYK,NJN
Shot Chart Detail,0021100345,233,202391,Jeremy Lin,1610612752,New York Knicks,2,4,49,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,83,60,1,1,20120204,NYK,NJN
Shot Chart Detail,0021100345,256,202391,Jeremy Lin,1610612752,New York Knicks,2,2,46,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,14,1,1,20120204,NYK,NJN
Shot Chart Detail,0021100345,383,202391,Jeremy Lin,1610612752,New York Knicks,3,2,35,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,36,7,1,1,20120204,NYK,NJN
Shot Chart Detail,0021100345,417,202391,Jeremy Lin,1610612752,New York Knicks,3,0,3,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,15,1,1,20120204,NYK,NJN
Shot Chart Detail,0021100345,433,202391,Jeremy Lin,1610612752,New York Knicks,4,10,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,7,192,1,1,20120204,NYK,NJN
Shot Chart Detail,0021100345,458,202391,Jeremy Lin,1610612752,New York Knicks,4,7,53,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,23,138,1,1,20120204,NYK,NJN
Shot Chart Detail,0021100345,486,202391,Jeremy Lin,1610612752,New York Knicks,4,4,59,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,0,1,1,20120204,NYK,NJN
Shot Chart Detail,0021100345,520,202391,Jeremy Lin,1610612752,New York Knicks,4,2,3,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,14,1,1,20120204,NYK,NJN
Shot Chart Detail,0021100345,530,202391,Jeremy Lin,1610612752,New York Knicks,4,1,36,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,11,1,1,20120204,NYK,NJN
Shot Chart Detail,0021100361,41,202391,Jeremy Lin,1610612752,New York Knicks,1,7,19,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,3,1,1,20120206,NYK,UTA
Shot Chart Detail,0021100361,43,202391,Jeremy Lin,1610612752,New York Knicks,1,6,59,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,26,15,1,1,20120206,NYK,UTA
Shot Chart Detail,0021100361,161,202391,Jeremy Lin,1610612752,New York Knicks,2,7,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,11,1,1,20120206,NYK,UTA
Shot Chart Detail,0021100361,209,202391,Jeremy Lin,1610612752,New York Knicks,2,3,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,3,1,1,20120206,NYK,UTA
Shot Chart Detail,0021100361,319,202391,Jeremy Lin,1610612752,New York Knicks,3,6,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,135,135,1,1,20120206,NYK,UTA
Shot Chart Detail,0021100361,322,202391,Jeremy Lin,1610612752,New York Knicks,3,5,36,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,9,1,1,20120206,NYK,UTA
Shot Chart Detail,0021100361,399,202391,Jeremy Lin,1610612752,New York Knicks,4,10,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,4,1,1,20120206,NYK,UTA
Shot Chart Detail,0021100361,429,202391,Jeremy Lin,1610612752,New York Knicks,4,8,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,11,1,1,20120206,NYK,UTA
Shot Chart Detail,0021100361,475,202391,Jeremy Lin,1610612752,New York Knicks,4,4,29,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,19,1,1,20120206,NYK,UTA
Shot Chart Detail,0021100361,528,202391,Jeremy Lin,1610612752,New York Knicks,4,1,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,212,116,1,1,20120206,NYK,UTA
Shot Chart Detail,0021100375,163,202391,Jeremy Lin,1610612752,New York Knicks,2,8,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-5,-21,1,1,20120208,WAS,NYK
Shot Chart Detail,0021100375,176,202391,Jeremy Lin,1610612752,New York Knicks,2,6,47,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-8,1,1,20120208,WAS,NYK
Shot Chart Detail,0021100375,198,202391,Jeremy Lin,1610612752,New York Knicks,2,4,52,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,-6,1,1,20120208,WAS,NYK
Shot Chart Detail,0021100375,245,202391,Jeremy Lin,1610612752,New York Knicks,2,0,38,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,168,6,1,1,20120208,WAS,NYK
Shot Chart Detail,0021100375,258,202391,Jeremy Lin,1610612752,New York Knicks,3,11,31,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,108,31,1,1,20120208,WAS,NYK
Shot Chart Detail,0021100375,367,202391,Jeremy Lin,1610612752,New York Knicks,3,3,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,0,1,1,20120208,WAS,NYK
Shot Chart Detail,0021100375,378,202391,Jeremy Lin,1610612752,New York Knicks,3,2,58,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,-11,1,1,20120208,WAS,NYK
Shot Chart Detail,0021100375,401,202391,Jeremy Lin,1610612752,New York Knicks,3,0,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,0,1,1,20120208,WAS,NYK
Shot Chart Detail,0021100375,486,202391,Jeremy Lin,1610612752,New York Knicks,4,4,33,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,3,1,1,20120208,WAS,NYK
Shot Chart Detail,0021100395,23,202391,Jeremy Lin,1610612752,New York Knicks,1,9,33,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,-21,1,1,20120210,NYK,LAL
Shot Chart Detail,0021100395,29,202391,Jeremy Lin,1610612752,New York Knicks,1,8,19,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,80,165,1,1,20120210,NYK,LAL
Shot Chart Detail,0021100395,37,202391,Jeremy Lin,1610612752,New York Knicks,1,7,19,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,88,127,1,1,20120210,NYK,LAL
Shot Chart Detail,0021100395,39,202391,Jeremy Lin,1610612752,New York Knicks,1,7,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,8,1,1,20120210,NYK,LAL
Shot Chart Detail,0021100395,167,202391,Jeremy Lin,1610612752,New York Knicks,2,6,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,81,66,1,1,20120210,NYK,LAL
Shot Chart Detail,0021100395,223,202391,Jeremy Lin,1610612752,New York Knicks,2,3,8,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-62,55,1,1,20120210,NYK,LAL
Shot Chart Detail,0021100395,226,202391,Jeremy Lin,1610612752,New York Knicks,2,2,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,12,1,1,20120210,NYK,LAL
Shot Chart Detail,0021100395,265,202391,Jeremy Lin,1610612752,New York Knicks,3,11,15,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-51,4,1,1,20120210,NYK,LAL
Shot Chart Detail,0021100395,369,202391,Jeremy Lin,1610612752,New York Knicks,3,3,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,9,1,1,20120210,NYK,LAL
Shot Chart Detail,0021100395,460,202391,Jeremy Lin,1610612752,New York Knicks,4,8,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-191,-11,1,1,20120210,NYK,LAL
Shot Chart Detail,0021100395,478,202391,Jeremy Lin,1610612752,New York Knicks,4,6,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,53,219,1,1,20120210,NYK,LAL
